source,ipo_name,title,media,date,desc,link
GoogleNews,Jayesh Logistics Limited,"Jayesh Logistics IPO Opens Today: GMP, Price, Key Dates, Lot Size, All You Need To Know",News18,1 hour ago,"Jayesh Logistics IPO: Unlisted shares of Jayesh Logistics Ltd are currently trading at Rs 127 apiece in the grey market, against the upper IPO price of Rs...",https://www.news18.com/business/ipo/jayesh-logistics-ipo-opens-today-gmp-price-key-dates-lot-size-all-you-need-to-know-ws-l-9660566.html&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIBRAC&usg=AOvVaw1UPVGM4WLuta_XaIxft_DU
GoogleNews,Jayesh Logistics Limited,Jayesh Logistics IPO Subscription Status – IPO Open,IPO Watch,3 hours ago,Jayesh Logistics IPO subscription status live numbers. Get latest subscription status of Jayesh Logistics IPO from NSE.,https://ipowatch.in/jayesh-logistics-ipo-subscription-status-2/&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQICBAC&usg=AOvVaw36KvWWVoJS0VVj_HXD-2HB
GoogleNews,Jayesh Logistics Limited,Jayesh Logistics Launches Rs 28.63 Crore IPO: A Modest Start for the Indo-Nepal Logistics Player,scanx.trade,3 hours ago,"Jayesh Logistics, specializing in Indo-Nepal cargo services, has opened its IPO on the NSE SME platform. The company aims to raise Rs 28.63 crore by...",https://scanx.trade/stock-market-news/ipo/jayesh-logistics-launches-rs-28-63-crore-ipo-a-modest-start-for-the-indo-nepal-logistics-player/23078555&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIChAC&usg=AOvVaw0vgULxx8qMJdu50ToAU6Nu
GoogleNews,Jayesh Logistics Limited,"Jayesh Logistics IPO opens today. Check GMP, price band, subscription and other details",The Economic Times,4 hours ago,"Jayesh Logistics is launching its Rs 28.63-crore IPO on Monday, aiming to raise funds for fleet expansion and working capital. The logistics firm...",https://m.economictimes.com/markets/ipos/fpos/jayesh-logistics-ipo-opens-today-check-gmp-price-band-subscription-and-other-details/articleshow/124837820.cms&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIBBAC&usg=AOvVaw2ck5QhU_m5NhBh054Pf-sD
GoogleNews,Jayesh Logistics Limited,"Upcoming IPOs this week: 3 mainboard issue, 2 SMEs to open – Check list, price band, and market buzz",The Financial Express,4 hours ago,"Three IPOs, including Orkla India, Jayesh Logistics, and Game Changers Texfab, open next week—view dates and price bands to invest now!14 hours ago",https://www.financialexpress.com/market/ipo-news-upcoming-ipos-next-week-1-mainboard-issue-2-smes-to-open-check-list-price-bands-and-market-buzz-4021121/&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIBxAC&usg=AOvVaw1getBOeogmO5MHCA6aeJhh
GoogleNews,Jayesh Logistics Limited,IPO Rush: MTR-Parent Orkla India To Open For Bidding; Three SME Offers On D-Street,NDTV Profit,8 hours ago,"The Indian primary market is set to welcome one mainboard offering in the week ahead. Activity on the listing front is also muted, prepping the stage for a...",https://www.ndtvprofit.com/markets/initial-public-offering-ipo-rush-mtr-parent-orkla-india-to-open-for-bidding-three-sme-offers-on-d-street&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIARAC&usg=AOvVaw3xMuu9X9MCZ5qRJY2oCkbM
GoogleNews,Jayesh Logistics Limited,"Upcoming IPOs: Orkla India IPO, Jayesh Logistics IPO among public issues to open next week",Mint,1 hours ago,"Orkla India IPO among the mainboard public issue and Jayesh Logistics IPO, Game Changers Texfab IPO, Safecure IPO, and Shreeji Global FMCG IPO among SME...",https://www.livemint.com/market/stock-market-news/upcoming-ipos-orkla-india-ipo-jayesh-logistics-ipo-among-public-issues-to-open-next-week/amp-11761462661058.html&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIAxAC&usg=AOvVaw3aJn_bcccGZBv9nUNDtOLY
GoogleNews,Jayesh Logistics Limited,"Three Big IPOs Next Week, Over ₹1,750 Crore Up For Grabs Across Consumer, Textile & Logistics Sectors",Free Press Journal,1 day ago,"Next week, three IPOs—Orkla India, Game Changers Texfab, and Jayesh Logistics—worth over Rs 1750 crore will hit the market, offering investors opportunities...",https://www.freepressjournal.in/business/ipo-calendar-lights-up-next-week-three-new-public-issues-worth-over-1750-crore&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIAhAC&usg=AOvVaw2k8aC7gyZdLvgpvZaBzuXq
GoogleNews,Jayesh Logistics Limited,Upcoming IPOs: 4 public issues to open for subscription - FULL List,ET Now,1 day ago,"Upcoming IPOs: The IPO lineup spans both the mainboard and SME segments, featuring companies such as Lenskart Solutions, Orkla India, Game Changers Texfab,...",https://www.etnownews.com/markets/upcoming-ipos-4-public-issues-to-open-for-subscription-full-list-article-153053473&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQICRAC&usg=AOvVaw0B8rVjWLgGgkgaRPYcZLk4
GoogleNews,Jayesh Logistics Limited,"Upcoming IPOs: Orkla India And 2 SMEs TO Launch Public Issues This Week; Groww, Lenskart, BoAT Likely To Announce Details",Outlook Money,1 day ago,"Upcoming IPOs: Even as the IPO action is expected to moderate in the upcoming week, the IPO rush of 2025 is far from over.",https://www.outlookmoney.com/invest/equity/upcoming-ipos-orkla-india-and-2-smes-to-launch-public-issues-this-week-groww-lenskart-boat-likely-to-announce-details&ved=2ahUKEwiE_JKG3cOQAxWxkWoFHXxPJjcQxfQBegQIBhAC&usg=AOvVaw2SprOMaWBPCfj5QwqnakBU
